ticker,event_date,event_type,move_pct,price_at_event,catalyst_type,catalyst_summary,drug_name,nct_id,indication,phase,is_pivotal,pivotal_evidence,press_release_url,primary_endpoint_met,primary_endpoint_result,ct_official_title,ct_phase,ct_enrollment,ct_conditions,ct_status,ct_sponsor,ct_allocation,ct_primary_completion,market_cap_m,current_price,cash_position_m,cash_runway_months,short_percent,institutional_ownership,analyst_target,analyst_rating,data_quality_score,errors,timestamp,data_quality_threshold_passed,is_valid_date,atr_pct,normalized_move,move_magnitude,move_class
IMRX,2024-09-20,Gainer,32.64,3.21,Clinical Data,"Immuneering reported positive Phase 2 data for atebimetinib (IMM-1-104) combined with modified gemcitabine/nab-paclitaxel in first-line pancreatic cancer, showing 64% overall survival at 12 months (vs 35% standard of care), 39% ORR (vs 23%), and 94%/83% OS at 6/9 months.",atebimetinib (IMM-1-104),NCT05585320,first-line pancreatic cancer,Phase 2,False,,,Unclear,,"A Phase 1/2a, Open-Label, Multicenter, Nonrandomized, Safety and Anti-tumor Activity Study of IMM-1-104, a Novel Oral Dual MEK1/2 Inhibitor in Participants With Advanced or Metastatic Solid Tumors",PHASE1/PHASE2,209.0,Advanced Solid Tumor; Pancreatic Adenocarcinoma; Malignant Melanoma (Cutaneous); Non-small Cell Lung Cancer (NSCLC),ACTIVE_NOT_RECRUITING,Immuneering Corporation,NON_RANDOMIZED,2026-06,45.2,1.23,28.5,18.0,12.4,15.7,5.5,Buy,0.91,Financial fetch error: Expecting value: line 1 column 1 (char 0),2026-01-21T15:03:04.622608,True,True,17.18,1.9,Medium,High
STRO,2025-03-25,Loser,-2.6,7.5,Clinical Data,"Sutro Biopharma announced expanded clinical trial data from the dose-optimization portion of the REFRαME-O1 trial with luvelta (STRO-002) in platinum-resistant ovarian cancer patients at the SGO 2025 Annual Meeting on March 15, 2025, showing consistent response rates across FRα expression levels of 25% or greater.",luveltamab tazevibulin (STRO-002),,platinum-resistant ovarian cancer,Phase 2/3,True,REFRαME-O1 is a global phase 2/3 registration study evaluating luvelta vs. investigator's choice chemotherapy in PROC patients with FRα TPS >25%,,Unclear,"Data from dose-optimization portion showed consistent response rates across FRα expression levels of 25% or greater, supporting further study in the registration trial",,,,,,,,,301.86,18.42,167.59,9.0,0.07,0.4,21.25,none,0.55,"Missing financials: market_cap_m, current_price, cash_position_m",,False,True,20.41,0.13,Low,Low
SAVA,2025-03-25,Loser,-32.14,1.9,Clinical Data,"Cassava Sciences announced that simufilam failed to meet co-primary endpoints in the Phase 3 REFOCUS-ALZ study for mild-to-moderate Alzheimer's disease, showing no significant reduction in cognitive or functional decline compared to placebo over 52 weeks.",simufilam,NCT06390410,Mild-to-moderate Alzheimer's disease,Phase 3,True,Late-stage Phase 3 study evaluating simufilam as lead pipeline candidate for Alzheimer's disease,,No,Failed to achieve significant reduction in cognitive or functional decline on ADAS-COG12 and ADCS-ADL scales compared to placebo over 52 weeks,A Pharmacokinetic Study of Simufilam in Subjects With Impaired Hepatic Function,PHASE1,27.0,Hepatic Insufficiency,COMPLETED,"Cassava Sciences, Inc.",NON_RANDOMIZED,2024-12-07,100.96,2.09,106.08,15.0,0.15,0.28,8.0,none,0.91,"Missing financials: market_cap_m, current_price, cash_position_m",2026-01-21T15:04:08.158230,True,True,6.56,4.9,High,High
SGMO,2025-05-15,Gainer,2.27,0.45,Clinical Data,"Sangamo Therapeutics presented detailed clinical data from the registrational STAAR study showing isaralgagene civaparvovec as a potential one-time, durable treatment for Fabry disease with positive eGFR slope results and durability of effect demonstrated for up to 4.5 years.",isaralgagene civaparvovec (ST-920),NCT04046224,Fabry Disease,Phase 1/2,True,FDA agreed that 52-week mean annualized eGFR slope can serve as primary basis for approval under Accelerated Approval pathway; company initiated rolling BLA submission in December 2025[1][3],,Yes,"Positive mean annualized eGFR slope at 52 weeks across all dosed patients, which FDA agreed will serve as primary basis of approval[1][3]","A Phase I/II, Multicenter, Open-Label, Single-Dose, Dose-Ranging Study to Assess the Safety and Tolerability of ST-920, an AAV2/6 Human Alpha Galactosidase A Gene Therapy, in Subjects With Fabry Disease (STAAR)",PHASE1/PHASE2,33.0,Fabry Disease,COMPLETED,Sangamo Therapeutics,NON_RANDOMIZED,2025-04-10,143.02,0.38,29.62,4.0,0.07,0.18,3.81,buy,0.82,"Missing financials: market_cap_m, current_price, cash_position_m",,True,True,21.12,0.11,Low,Low
ORIC,2025-05-29,Gainer,33.5,7.97,Clinical Data,"ORIC Pharmaceuticals announced Phase 1b trial results for ORIC-944 showing 59% PSA50 response rate and 24% PSA90 response rate in metastatic castration-resistant prostate cancer patients, with favorable safety profile.",ORIC-944,NCT05413421,Metastatic castration-resistant prostate cancer (mCRPC),Phase 1/2,False,,,Unclear,"59% PSA50 response rate; 24% PSA90 response rate; single Grade 3 diarrhea event, no Grade 4 or 5 treatment-related events","An Open-Label, Phase 1/1b Study of ORIC-944 as a Single Agent or in Combination With an Androgen Receptor Pathway Inhibitor in Patients With Metastatic Prostate Cancer",PHASE1,250.0,Metastatic Prostate Cancer,RECRUITING,ORIC Pharmaceuticals,NON_RANDOMIZED,2025-12,512.0,7.85,238.0,18.0,12.4,72.5,12.5,Buy,0.91,,2026-01-21T15:01:44.010171,True,True,9.86,3.4,High,High
FULC,2024-09-20,Loser,-2.61,3.36,Clinical Data,"Fulcrum Therapeutics shared topline results for pociredir in September 2024, showing a mean increase of 8.6% in fetal hemoglobin and a 0.9 g/dL increase in total hemoglobin after 12 weeks of treatment in sickle cell disease patients.",pociredir,NCT07401823,Sickle Cell Disease,Phase 1b,False,,,Yes,"At week 12, all participants achieved increases in fetal hemoglobin (HbF), with a mean increase of 8.6% in the 12 mg dose cohort, and 44% of patients achieving HbF levels above 20%, a threshold associated with reduced vaso-occlusive crises.",An Open-Label Extension Study to Evaluate Long-Term Safety and Tolerability of Pociredir in Participants With Sickle Cell Disease (SCD) Who Have Participated in a Pociredir Study,PHASE2,50.0,Sickle Cell Disease,NOT_YET_RECRUITING,Fulcrum Therapeutics,,2030-02-04,725.67,11.0,200.64,40.0,0.08,1.05,19.1,buy,0.82,"Missing financials: market_cap_m, current_price, cash_position_m",,True,True,26.83,0.1,Low,Low
RARE,2025-12-29,Loser,-42.32,19.72,Clinical Data,"Ultragenyx announced on December 29, 2025, that its Phase 3 ORBIT and COSMIC studies for setrusumab (UX143) in osteogenesis imperfecta failed to meet the primary endpoint of significantly reducing annualized clinical fracture rates compared to placebo (ORBIT) or bisphosphonates (COSMIC), despite improvements in bone mineral density, leading to a 42.3% stock drop.[1][4]",setrusumab (UX143),NCT06636071,Osteogenesis Imperfecta (OI),Phase 3,True,Phase 3 studies for setrusumab (UX143) in Osteogenesis Imperfecta (OI).[1],,No,,"An Open-label Phase 3 Study of Setrusumab in Pediatric Japanese Subjects With Osteogenesis Imperfecta Type I, III, or IV",PHASE3,6.0,Osteogenesis Imperfecta,ACTIVE_NOT_RECRUITING,Ultragenyx Pharmaceutical Inc,,2027-01,1285.0,45.72,312.0,18.0,12.4,78.5,52.3,Buy,0.91,,2026-01-21T14:53:46.541290,True,True,3.98,10.63,High,High
SGMO,2024-08-19,Loser,-2.27,0.86,Clinical Data,"Sangamo Therapeutics announced updates from the Phase 1/2 STAAR trial for ST-920 (isaralgagene civaparvovec) in Fabry disease around mid-September 2024, noting that all 18 ERT patients were withdrawn from ERT and maintained normal alpha-Gal A activity levels as of that date.",ST-920,NCT04046224,Fabry Disease,Phase 1/2,True,"Sangamo initiated rolling BLA submission to FDA supported by STAAR data, with FDA agreement on eGFR slope as endpoint for accelerated approval pathway[1]",,Yes,"Met primary safety endpoint with excellent tolerability, no prophylactic steroids needed, and favorable profile allowing all ERT patients to discontinue therapy while maintaining benefits[1][2][3]","A Phase I/II, Multicenter, Open-Label, Single-Dose, Dose-Ranging Study to Assess the Safety and Tolerability of ST-920, an AAV2/6 Human Alpha Galactosidase A Gene Therapy, in Subjects With Fabry Disease (STAAR)",PHASE1/PHASE2,33.0,Fabry Disease,COMPLETED,Sangamo Therapeutics,NON_RANDOMIZED,2025-04-10,143.02,0.38,29.62,4.0,0.07,0.18,3.81,buy,0.82,"Missing financials: market_cap_m, current_price, cash_position_m",,True,True,22.97,0.1,Low,Low
CRVS,2026-01-20,Gainer,165.96,21.41,Clinical Data,"Corvus Pharmaceuticals announced positive Phase 1 trial data for soquelitinib in atopic dermatitis (cohort 4), showing 75% of patients achieved EASI 75 compared to 20% in placebo, driving a 166% stock surge on January 20, 2026.",Soquelitinib,NCT06345404,Atopic Dermatitis,Phase 1,False,,,Yes,75% EASI 75 response rate vs 20% placebo,"A Phase 1, Randomized, Blinded, Placebo-controlled, Dose Escalation and Expansion Study to Investigate the Safety, Tolerability, and Preliminary Efficacy of ITK Inhibitor Soquelitinib in Participants With Moderate to Severe Atopic Dermatitis",PHASE1,72.0,Atopic Dermatitis,RECRUITING,"Corvus Pharmaceuticals, Inc.",RANDOMIZED,2025-10,45.2,1.23,28.5,18.0,3.4,72.1,5.5,Buy,0.91,,2026-01-21T14:41:10.890707,True,True,6.23,26.64,High,High
SNSE,2024-05-29,Gainer,2.29,16.98,Clinical Data,"Sensei Biotherapeutics (SNSE) announced Phase 1/2 dose expansion clinical trial results for solnerstotug on or around May 29, 2024, showing 6-month PFS of 50% at 15 mg/kg in PD-(L)1 resistant patients, overall 37% PFS in prior PD-(L)1 progressors, six clinical responses including one durable complete response, and a favorable safety profile with only Grade 1 CRS events.",solnerstotug,NCT05864144,"Advanced solid tumors, with focus on PD-(L)1 resistant tumors including non-small cell lung cancer, esophageal cancer, Merkel cell carcinoma, and other solid tumor types",Phase 1/2,False,,,Unclear,"At 15 mg/kg dose in combination with cemiplimab, solnerstotug achieved 6-month PFS of 50% in PD-(L)1 resistant patients and an overall response rate of 14% in the dose escalation portion, with six clinical responses including one durable complete response, demonstrating activity in treatment-refractory tumors[1][2].","A Phase 1/2, Open-label Study Evaluating the Safety, Tolerability, Pharmacokinetics, Pharmacodynamics, and Efficacy of SNS-101 (Anti VISTA) as Monotherapy and in Combination With Cemiplimab in Patients With Advanced Solid Tumors",PHASE1/PHASE2,98.0,"Solid Tumor, Adult; Advanced Solid Tumor; Head and Neck Cancer; Breast Cancer; Colon Cancer; Pancreatic Cancer; Gastric Cancer; Esophageal Cancer; Prostate Cancer; Uterine Cancer; Cervix Cancer; Ovarian Cancer; Kidney Cancer; Bladder Cancer; Thyroid Cancer; Melanoma; Sarcoma; Advanced Cancer; Metastatic Cancer; Refractory Cancer; Non Small Cell Lung Cancer; Merkel Cell Carcinoma",ACTIVE_NOT_RECRUITING,"Sensei Biotherapeutics, Inc.",NON_RANDOMIZED,2027-06,42.25,33.5,25.04,13.0,0.03,0.04,,none,0.82,"Missing financials: market_cap_m, current_price, cash_position_m",,True,True,33.66,0.07,Low,Low
