feature_name,type,description,source_columns,dtype,n_valid,n_null,pct_valid
target_abs_move_atr,target,ATR-normalised absolute stock move (primary regression target),stock_movement_atr_normalized,float64,828,3,99.6
target_move_bucket,target,Ordinal move class: 0=Noise 1=Low 2=Med 3=High 4=Extreme,move_class_norm,float64,828,3,99.6
target_large_move,target,"Binary: 1 if move_class_norm in {High, Extreme}",move_class_norm,int64,831,0,100.0
feat_phase_num,feat,Trial phase as float: 0.5=EarlyI 1=I 1.5=I/II 2=II 2.5=II/III 3=III 4=IV,ct_phase,float64,774,57,93.1
feat_late_stage_flag,feat,"1 if phase_num >= 2.5 (Phase 2/3, 3, or 4)",ct_phase,float64,774,57,93.1
feat_endpoint_positive_score,feat,Signal: primary_endpoint_met (Yes+1/No-1/Unclear0) + is_pivotal (True+1),"primary_endpoint_met, is_pivotal",float64,831,0,100.0
feat_mesh_level1_encoded,feat,MeSH Level-1 integer: 1=Neoplasms … 10=Musculoskeletal 11=Other,mesh_level1,int64,831,0,100.0
feat_log_market_cap,feat,log10(market_cap_m) — log-scale market cap in USD millions,market_cap_m,float64,831,0,100.0
feat_short_squeeze_flag,feat,1 if short_percent >= 20% (elevated short interest),short_percent,float64,801,30,96.4
feat_ownership_low_flag,feat,1 if institutional_ownership < 30%,institutional_ownership,float64,828,3,99.6
feat_volatility,feat,atr_pct — 20-day ATR as % of price (Wilder RMA),atr_pct,float64,828,3,99.6
feat_days_to_primary_completion,feat,Days from event_date to ct_primary_completion (positive = future),"event_date, ct_primary_completion",float64,778,53,93.6
feat_event_proximity_bucket,feat,Categorical: future_far / future_near / just_completed / past / unknown,feat_days_to_primary_completion,object,831,0,100.0
feat_active_not_recruiting_flag,feat,1 if ct_status == ACTIVE_NOT_RECRUITING,ct_status,float64,782,49,94.1
feat_design_quality_score,feat,"Trial quality: +2 randomized, +2 enroll>300, +1 enroll>100, +1 Ph3, +0.5 Ph2/3, -1 non-rand","ct_allocation, ct_enrollment, feat_phase_num",float64,782,49,94.1
