feature_name,stage,feature_type,source_columns,transformation_logic,dtype,coverage,missing_count
target_abs_move_atr,pass1,target,stock_movement_atr_normalized,ATR-normalised absolute stock move (primary regression target),float64,828,3
target_move_bucket,pass1,target,move_class_norm,Ordinal move class: 0=Noise 1=Low 2=Med 3=High 4=Extreme,float64,828,3
target_large_move,pass1,target,move_class_norm,"Binary: 1 if move_class_norm in {High, Extreme}",int64,831,0
feat_phase_num,pass1,feat,ct_phase,Trial phase as float: 0.5=EarlyI 1=I 1.5=I/II 2=II 2.5=II/III 3=III 4=IV,float64,774,57
feat_late_stage_flag,pass1,feat,ct_phase,"1 if phase_num >= 2.5 (Phase 2/3, 3, or 4)",float64,774,57
feat_endpoint_positive_score,pass1,feat,"primary_endpoint_met, is_pivotal",Signal: primary_endpoint_met (Yes+1/No-1/Unclear0) + is_pivotal (True+1),float64,831,0
feat_mesh_level1_encoded,pass1,feat,mesh_level1,MeSH Level-1 integer: 1=Neoplasms … 10=Musculoskeletal 11=Other,int64,831,0
feat_log_market_cap,pass1,feat,market_cap_m,log10(market_cap_m) — log-scale market cap in USD millions,float64,831,0
feat_short_squeeze_flag,pass1,feat,short_percent,1 if short_percent >= 20% (elevated short interest),float64,801,30
feat_ownership_low_flag,pass1,feat,institutional_ownership,1 if institutional_ownership < 30%,float64,828,3
feat_volatility,pass1,feat,atr_pct,atr_pct — 20-day ATR as % of price (Wilder RMA),float64,828,3
feat_days_to_primary_completion,pass1,feat,"event_date, ct_primary_completion",Days from event_date to ct_primary_completion (positive = future),float64,780,51
feat_event_proximity_bucket,pass1,feat,feat_days_to_primary_completion,Categorical: future_far / future_near / just_completed / past / unknown,object,831,0
feat_active_not_recruiting_flag,pass1,feat,ct_status,1 if ct_status == ACTIVE_NOT_RECRUITING,float64,784,47
feat_design_quality_score,pass1,feat,"ct_allocation, ct_enrollment, feat_phase_num","Trial quality: +2 randomized, +2 enroll>300, +1 enroll>100, +1 Ph3, +0.5 Ph2/3, -1 non-rand",float64,784,47
feat_n_trials_for_company,pass3,company_risk,ticker,count(rows) per ticker,int64,831,0
feat_n_unique_drugs_for_company,pass3,company_risk,"ticker, drug_name","nunique(drug_name) per ticker, ignoring nulls",int64,831,0
feat_single_asset_company_flag,pass3,company_risk,feat_n_unique_drugs_for_company,"1 if feat_n_unique_drugs_for_company <= 1, else 0",int64,831,0
feat_lead_asset_dependency_score,pass3,company_risk,feat_n_unique_drugs_for_company,1 drug→1.0 | 2→0.7 | 3–4→0.4 | 5+→0.2,float64,831,0
feat_n_late_stage_trials_for_company,pass3,company_risk,"ticker, feat_late_stage_flag, feat_phase_num",count(rows per ticker where feat_late_stage_flag==1 or feat_phase_num>=3),int64,831,0
feat_pipeline_concentration_simple,pass3,company_risk,"feat_lead_asset_dependency_score, feat_n_late_stage_trials_for_company, feat_n_trials_for_company",feat_lead_asset_dependency_score × (feat_n_late_stage_for_company / feat_n_trials_for_company),float64,831,0
feat_orphan_flag,pass3,regulatory,"pivotal_evidence, v_pr_key_info, v_summary, catalyst_summary, v_pr_title, ct_official_title","1 if combined text contains any of: ['orphan drug', 'orphan designation', 'orphan disease', 'rare disease designation', 'orphan status']",int64,831,0
feat_fast_track_flag,pass3,regulatory,"pivotal_evidence, v_pr_key_info, v_summary, catalyst_summary, v_pr_title, ct_official_title","1 if combined text contains any of: ['fast track', 'fast-track', 'fast track designation']",int64,831,0
feat_breakthrough_flag,pass3,regulatory,"pivotal_evidence, v_pr_key_info, v_summary, catalyst_summary, v_pr_title, ct_official_title","1 if combined text contains any of: ['breakthrough therapy', 'breakthrough designation', 'breakthrough therapy designation', 'breakthrough']",int64,831,0
