feature_name,role,feature_group,data_type,source_columns,source_system,calculation_logic,plain_english_definition,why_it_matters,valid_count,null_count,valid_pct,null_pct,validity_rule,notes,stage,feature_type,description,source_type,n_valid,n_null,pct_valid
target_abs_move_atr,target,Target,float,stock_movement_atr_normalized,dataset (ATR pipeline),abs(move_2d_pct) / atr_pct where atr_pct = Wilder RMA 20-day ATR pre-event,ATR-normalised absolute stock move over 2 days after event,Primary regression target — size of move expressed in units of pre-event volatility,825.0,2.0,99.8,0.2,must be > 0 for row_ready=True,2 nulls from ATR=0 failure; primary continuous target,,,,,825.0,2.0,0.998
target_move_bucket,target,Target,ordinal_int,move_class_norm,dataset (ATR pipeline),"MOVE_BUCKET_MAP: Noise=0, Low=1, Medium=2, High=3, Extreme=4","Ordinal move class: 0=Noise, 1=Low, 2=Medium, 3=High, 4=Extreme",Primary classification target — 5-class ordinal label for move magnitude,825.0,2.0,99.8,0.2,must be non-null for row_ready=True,derived from move_class_norm thresholds,,,,,825.0,2.0,0.998
target_large_move,target,Target,binary_int,move_class_norm,dataset (ATR pipeline),"1 if move_class_norm in {High, Extreme}, else 0",Binary flag: did this event produce a High or Extreme ATR-normalised move?,Binary classification target — identifies outlier-magnitude catalyst reactions,827.0,0.0,100.0,0.0,"always 0 or 1, never null",100% populated; useful for imbalanced binary classifier,,,,,827.0,0.0,1.0
feat_phase_num,feature,Trial Phase,float,ct_phase,CT.gov API (pass1),"PHASE_MAP: Phase1(Early)=0.5, Phase1=1.0, Phase1/2=1.5, Phase2=2.0, Phase2/3=2.5, Phase3=3.0, Phase4=4.0",Numeric encoding of clinical trial phase,Phase is one of the strongest drivers of move magnitude — late-stage trials move markets more,774.0,53.0,93.6,6.4,"null for rows without nct_id (no CT.gov match, 53 rows)",impute with mode (3.0) for baseline model,,,,,774.0,53.0,0.9359999999999999
feat_late_stage_flag,feature,Trial Phase,binary_float,feat_phase_num,dataset (pass1),"1.0 if feat_phase_num >= 2.5, else 0.0; NaN if phase unknown",1 if trial is Phase 2/3 or later; 0 otherwise,Simplified binary late-stage signal — useful when phase encoding is too granular,774.0,53.0,93.6,6.4,NaN iff feat_phase_num is NaN,co-null with feat_phase_num,,,,,774.0,53.0,0.9359999999999999
feat_mesh_level1_encoded,feature,Disease,ordinal_int,mesh_level1,MeSH LLM + CT.gov (pass1),"MESH_ENCODE_MAP: Neoplasms=1, NervousSystem=2, Immune=3, Endocrine=4, Respiratory=5, Infectious=6, Cardiovascular=7, GI=8, Skin=9, Musculoskeletal=10, Other=11",Integer code for disease category from MeSH taxonomy Level-1,Disease area is a core stratifier — oncology and CNS events have structurally different move distributions,827.0,0.0,100.0,0.0,"1–11, never null",100% coverage after completeness pass,,,,,827.0,0.0,1.0
feat_therapeutic_superclass,feature,Disease,categorical_str,mesh_level1,dataset (pass4),"MESH_TO_SUPERCLASS dict: Neoplasms→Oncology, NervousSystem→CNS, etc.",Human-readable therapeutic area label: Oncology / CNS / Immunology / etc.,"More readable version of mesh_level1_encoded; useful for grouping, stratification, display",827.0,0.0,100.0,0.0,"non-null string, always set",use for display and reaction prior grouping; same grouping as mesh_level1_encoded,,,,,827.0,0.0,1.0
feat_oncology_flag,feature,Disease,binary_int,mesh_level1,dataset (pass4),"1 if mesh_level1 == 'Neoplasms', else 0",1 if this is an oncology event,Oncology (28% of dataset) has distinct market dynamics — often larger moves and different endpoint standards,827.0,0.0,100.0,0.0,"0 or 1, never null",235 oncology rows (28%),,,,,827.0,0.0,1.0
feat_cns_flag,feature,Disease,binary_int,mesh_level1,dataset (pass4),"1 if mesh_level1 == 'Nervous System Diseases', else 0",1 if this is a CNS/neurology event,CNS (20%) has high clinical and market uncertainty — distinct move prior from oncology,827.0,0.0,100.0,0.0,"0 or 1, never null",167 CNS rows (20%),,,,,827.0,0.0,1.0
feat_rare_disease_flag,feature,Disease,binary_int,"feat_orphan_flag, indication, mesh_level1",dataset (pass4),1 if feat_orphan_flag==1 OR rare-disease keywords in indication/mesh_level1,1 if trial targets a rare/orphan disease,Rare disease trials have smaller patient populations and often greater market sensitivity per result,827.0,0.0,100.0,0.0,"0 or 1, never null",derived from orphan designation; 2 rows flagged,,,,,827.0,0.0,1.0
feat_log_market_cap,feature,Financial,log_float,market_cap_m,yfinance / dataset (pass1),log10(market_cap_m.clip(lower=0.001)),Log-base-10 of market capitalisation in USD millions,Market cap is a fundamental size feature — small caps move more on the same clinical news,827.0,0.0,100.0,0.0,non-null; market_cap_m clipped at 0.001 to avoid log(0),100% coverage,,,,,827.0,0.0,1.0
