ticker,event_date,market_cap_m,move_pct,close,volume,atr_pct,normalized_move,event_type,catalyst_type,abs_move,drug_name,catalyst_summary
IVVD,2025-02-03,476.6,196.09,1.06,448532800,9.61,20.41,Gainer,Clinical Data,196.09,VYD2311,"Invivyd (IVVD) announced positive Phase 1/2 clinical trial data for VYD2311, a monoclonal antibody for COVID-19 prevention and treatment, on February 3, 2025, showing favorable safety, pharmacokinetics, and antiviral activity in 40 subjects across multiple administration routes.[1][2]"
CBIO,2024-10-29,368.1,188.24,49.0,11221418,9.91,18.99,Gainer,Clinical Data,188.24,CUE-101 and CUE-102,"Cue Biopharma announced positive updated Phase 1 clinical trial data for CUE-101 and CUE-102 on October 29, 2024, at SITC, including 50% ORR with CUE-101 plus pembrolizumab in low PD-L1 head and neck cancer patients and 67% DCR with CUE-102 monotherapy in late-stage pancreatic cancer (data cutoff October 29, 2024)."
TSHA,2023-08-14,1240.9,188.23,2.13,158886800,7.23,26.05,Gainer,Clinical Data,188.23,TSHA-102,"Taysha Gene Therapies announced preliminary phase 1/2 REVEAL trial results for TSHA-102 in Rett syndrome around July-August 2023, showing safety with no serious adverse events at 6 weeks and efficacy improvements in the first patient at 4 weeks post-dosing on scales like CGI-I, CGI-S, and RSBQ.[1][2][4]"
TVGN,2024-10-14,53.2,186.84,1.09,249536600,10.17,18.37,Gainer,Clinical Data,186.84,TVGN 489,"Top-line results from the Phase I proof-of-concept clinical trial of TVGN 489 were announced by Tevogen Bio on October 8, 2024, showing the therapy was well-tolerated with rapid viral elimination, no dose-limiting toxicities, and persistence through six months in high-risk COVID-19 patients."
PRAX,2025-10-16,9341.1,183.71,162.71,13741900,8.39,21.91,Gainer,Clinical Data,183.71,ulixacaltamide,"On October 16, 2025, Praxis Precision Medicines announced positive Phase 3 results for ulixacaltamide in essential tremor, with the drug meeting primary endpoints and all key secondary endpoints achieving statistical significance."
EYPT,2023-12-04,1453.7,177.46,18.34,20827300,8.98,19.77,Gainer,Clinical Data,177.46,EYP-1901,"EyePoint Pharmaceuticals announced positive topline efficacy and safety data from the Phase 2 DAVIO 2 clinical trial of EYP-1901 in wet AMD in December 2023, achieving all primary and secondary endpoints with no drug-related serious adverse events."
CLLS,2023-11-01,390.3,172.16,2.64,75595100,7.97,21.61,Gainer,Clinical Data,172.16,UCART22 and UCART20x22,"Cellectis announced preliminary clinical trial results for UCART22 in r/r B-ALL and UCART20x22 in r/r B-cell NHL in their Q4 and full-year 2023 financial results report, including response rates, safety data, and patient enrollment updates as of July 1, 2023.[1]"
SGMT,2024-01-22,185.7,170.09,18.42,36169400,10.42,16.33,Gainer,Clinical Data,170.09,denifanstat,Sagimet Biosciences announced positive topline results from the Phase 2b FASCINATE-2 clinical trial of denifanstat in biopsy-confirmed MASH patients with F2/F3 fibrosis in January 2024.[1][2]
CELC,2025-07-28,5169.0,167.18,36.79,27636800,8.04,20.79,Gainer,Clinical Data,167.18,gedatolisib,"Celcuity (CELC) announced topline results from the PIK3CA wild-type cohort of the Phase 3 VIKTORIA-1 trial on July 28, 2025, via conference call, with detailed efficacy and safety results presented at the 2025 ESMO Congress showing significant PFS improvements and good tolerability."
SANA,2025-01-08,1121.4,160.61,4.3,161196100,12.9,12.45,Gainer,Clinical Data,160.61,UP421,"Sana Biotechnology announced positive preliminary 12-week clinical results for UP421, a hypoimmune-modified allogeneic pancreatic islet cell therapy for type 1 diabetes without immunosuppression, on January 7, 2025, showing stable C-peptide production, graft survival via MRI, and no safety issues.[3][1]"
PMN,2025-07-21,50.6,154.55,28.0,11615944,17.03,9.08,Gainer,Clinical Data,154.55,PMN310,"ProMIS Neurosciences announced on July 21, 2025, that PMN310 received FDA Fast Track Designation for Alzheimer's Disease treatment, based on encouraging Phase 1a trial results showing selective targeting of toxic amyloid-beta forms."
UNCY,2023-03-06,148.9,153.06,12.4,10303350,9.8,15.61,Gainer,Clinical Data,153.06,Renazorb,"Unicycive announced on March 6, 2023, that the primary endpoint was met in its pivotal bioequivalence study comparing Renazorb to Fosrenol in healthy volunteers, establishing pharmacodynamic bioequivalence and satisfying FDA clinical requirements for NDA filing via the 505(b)(2) pathway.[7]"
WVE,2025-12-08,2587.6,147.26,18.52,147251400,6.68,22.05,Gainer,Clinical Data,147.26,WVE-007,"Wave Life Sciences announced interim Phase 1 clinical trial results for WVE-007 in the INLIGHT trial in December 2025, showing a single 240 mg dose achieved fat loss comparable to GLP-1 at three months with muscle preservation."
NERV,2025-10-21,285.6,140.98,6.41,166732500,14.66,9.62,Gainer,Clinical Data,140.98,NVG-291,"NervGen Pharma announced positive topline data from the chronic cohort of their Phase 1b/2a trial of NVG-291 for spinal cord injury, meeting the primary endpoint of statistical significance on motor evoked potential amplitude, though the exact announcement date is not specified in available sources and predates expectations for early June 2025.[1][2]"
CCCC,2023-12-13,261.7,135.47,5.51,225846300,9.51,14.24,Gainer,Clinical Data,135.47,cemsidomide,"C4 Therapeutics (CCCC) shared monotherapy clinical data for cemsidomide in multiple myeloma in December 2023, demonstrating immune cell activation at clinically relevant doses, around the time of their oncology deal announcement on 2023-12-13.[7][8][9]"
DRUG,2024-10-14,820.4,130.56,2.49,21504400,8.03,16.27,Gainer,Clinical Data,130.56,Omvoh,"FDA approved Eli Lilly's Omvoh (mirikizumab) for Crohn's disease on October 14, 2024, based on positive Phase III VIVID-1 trial results showing 53% clinical remission versus 36% on placebo at one year.[3]"
STTK,2023-12-13,248.1,130.33,4.86,57197800,8.78,14.85,Gainer,Clinical Data,130.33,SL-172154,"Shattuck Labs announced positive initial topline data from a Phase 1A/B dose expansion trial of SL-172154 in combination with azacitidine on December 13, 2023, showing a 79% objective response rate in frontline HR-MDS patients and 27% initial complete response in frontline TP53m AML patients."
PEPG,2025-09-25,427.6,121.05,5.88,125104600,9.44,12.83,Gainer,Clinical Data,121.05,PGN-EDODM1,"PepGen announced clinical trial results from the 15 mg/kg cohort of the FREEDOM-DM1 Phase 1 trial, reporting a mean splicing correction of 53.7% in DM1 patients around late 2025, including November 13, 2025, but no specific announcement on or around September 25, 2025."
VKTX,2024-02-27,3910.4,121.02,85.05,59033700,7.56,16.0,Gainer,Clinical Data,121.02,VK2735,"On February 27, 2024, Viking Therapeutics announced positive Phase 2 VENTURE trial results showing VK2735 achieved its primary endpoint with statistically significant body weight reductions up to 14.7% compared to placebo, with up to 88% of patients achieving at least 10% weight loss."
PMN,2023-07-17,50.6,120.28,154.75,559040,11.15,10.79,Gainer,Clinical Data,120.28,PMN310,"ProMIS Neurosciences announced positive Phase 1a clinical trial results for PMN310 on July 17, 2023, showing the drug was well tolerated and demonstrated central nervous system exposure indicating target engagement in Alzheimer's disease.[3]"
IVVD,2023-12-18,476.6,120.25,3.59,69246700,9.27,12.97,Gainer,Clinical Data,120.25,VYD222,"Invivyd announced interim exploratory clinical data from the ongoing Phase 3 CANOPY trial for VYD222 on or around December 2023, showing a potential early signal of clinical protection from symptomatic COVID-19 with 0% infection rate in the VYD222 arm versus 3% in placebo as of December 1, 2023 (median 67 days follow-up).[2]"
RAPP,2025-09-08,1383.6,119.15,31.47,13877600,10.98,10.85,Gainer,Clinical Data,119.15,RAP-219,"On September 8, 2025, Rapport Therapeutics announced positive Phase 2a topline results for RAP-219 in drug-resistant focal onset seizures, showing 77.8% median seizure reduction and 24% seizure freedom."
COGT,2025-11-10,6305.7,119.03,32.46,23291200,7.4,16.07,Gainer,Clinical Data,119.03,bezuclastinib,"Cogent Biosciences (COGT) announced positive top-line Phase 3 PEAK trial results on November 10, 2025, showing bezuclastinib plus sunitinib reduced progression or death risk by 50% (HR 0.50) versus sunitinib alone in imatinib-resistant/intolerant GIST patients, with median PFS of 16.5 vs. 9.2 months and ORR of 46% vs. 26%."
DRUG,2024-10-18,820.4,117.56,47.21,27243100,18.24,6.44,Gainer,Clinical Data,117.56,GMRx2,"Phase III trial results for GMRx2, a novel triple combination pill (telmisartan, amlodipine, and indapamide) for hypertension, were published in The Lancet on October 18, 2024, showing superior blood pressure reduction and control rates compared to dual therapies with good tolerability.[1][4]"
TECX,2025-01-30,438.9,113.22,54.84,5545600,13.59,8.33,Gainer,Clinical Data,113.22,TX45,"Tectonic Therapeutic (TECX) announced positive interim data from the Phase 1b trial of TX45 in patients with Group 2 Pulmonary Hypertension in HFpEF on January 30, 2025."
CORT,2025-03-31,3797.6,109.08,114.22,14339400,5.98,18.23,Gainer,Clinical Data,109.08,relacorilant,"Corcept Therapeutics (CORT) announced on March 31, 2025, that their Phase 3 ROSELLA trial of relacorilant plus nab-paclitaxel met its primary endpoint of improved progression-free survival (6.5 vs. 5.5 months, HR 0.70, p=0.008) in platinum-resistant ovarian cancer patients, with positive interim overall survival data (16.0 vs. 11.5 months, HR 0.69, p=0.012).[1][2]"
TNGX,2023-08-09,1500.3,103.92,7.81,74897800,8.43,12.32,Gainer,Clinical Data,103.92,TNG908,"On August 7, 2023, Tango Therapeutics announced proof-of-mechanism data for TNG908 showing marked SDMA reduction in MTAP-deleted cancer cells, with 16 patients treated across dose escalation cohorts as of May 9, 2023."
ARMP,2025-10-22,391.7,103.17,7.05,13062700,14.82,6.96,Gainer,Clinical Data,103.17,AP-SA02,"Armata Pharmaceuticals presented late-breaking positive results from its Phase 2a diSArm study of AP-SA02, a Staphylococcus aureus bacteriophage cocktail, at IDWeek 2025 in October 2025, showing 88% clinical response rate at Day 12 versus 58% in placebo and zero non-response/relapse rates in the AP-SA02 group."
INBX,2025-10-24,1078.1,102.01,57.29,6079600,9.21,11.08,Gainer,Clinical Data,102.01,ozekibart (INBRX-109),"Inhibrx announced positive topline results from the ChonDRAgon registrational trial on October 23, 2025, showing ozekibart achieved a 52% reduction in disease progression or death risk with median progression-free survival of 5.52 months versus 2.66 months for placebo in advanced chondrosarcoma."
MBX,2025-09-22,1461.6,100.0,20.0,28303500,11.42,8.75,Gainer,Clinical Data,100.0,canvuparatide,"MBX Biosciences announced positive Phase 2 topline results for canvuparatide in hypoparathyroidism on September 22, 2025, showing a 63% responder rate at 12 weeks versus 31% placebo and 79% at six months in the open-label extension."
SABS,2023-04-13,195.2,99.74,7.59,2621000,9.53,10.46,Gainer,Clinical Data,99.74,SAB-185,"SAB Biotherapeutics announced positive Phase 3 trial results for SAB-185 on April 26, 2023, showing benefits in sustained symptom resolution for COVID-19 patients compared to REGEN-COV, though the primary endpoint was inconclusive due to low event rates.[1]"
SHC,2023-01-10,4621.4,99.65,17.25,49454100,,,Gainer,Clinical Data,99.65,LP-10,LP-10 phase 2a clinical trial top-line results were reported in January 2023.
BMEA,2023-03-28,96.9,99.03,30.71,18312500,8.47,11.69,Gainer,Clinical Data,99.03,BMF-219,"Biomea Fusion announced initial positive topline data from the first two cohorts of patients with type 2 diabetes on March 28, 2023, showing that BMF-219, a menin inhibitor, demonstrated HbA1c reductions and improved beta cell function."
