ticker,event_date,move_pct,atr_pct,normalized_move,price_at_event,event_type,drug_name,catalyst_summary,catalyst_type,nct_id,indication,phase,is_pivotal,pivotal_evidence,press_release_url,primary_endpoint_met,primary_endpoint_result,ct_official_title,ct_phase,ct_enrollment,ct_conditions,ct_status,ct_sponsor,ct_allocation,ct_primary_completion,market_cap_m,current_price,cash_position_m,cash_runway_months,short_percent,institutional_ownership,analyst_target,analyst_rating,data_quality_score,errors,timestamp,data_quality_threshold_passed,is_valid_date,move_magnitude,move_class_abs,move_class_norm,move_class_combo,stock_relative_move
KALA,2025-10-16,-2.13,108.35,0.02,1.38,Loser,KPI-012,"KALA Bio announced topline results from its CHASE Phase 2b clinical trial of KPI-012 for PCED on September 29, 2025, reporting failure to meet primary and key secondary endpoints, though the drug was well-tolerated; no announcements occurred on or around October 16, 2025.",Clinical Data,NCT05727878,Persistent Corneal Epithelial Defect,Phase 2b,False,,,No,Failed to meet primary endpoint of complete healing of PCED at Week 8.,A Study to Evaluate Safety and Efficacy of KPI-012 Ophthalmic Solution in Participants With Persistent Corneal Epithelial Defect (PCED),PHASE2,103.0,Persistent Corneal Epithelial Defect,TERMINATED,"Combangio, Inc",RANDOMIZED,2025-09-29,346.31,0.38,21.1,7.0,0.03,0.01,,none,0.82,,,True,True,Low,VeryLow,Noise,Low,Low
KALA,2025-10-08,-4.27,168.86,0.03,1.57,Loser,KPI-012,"KALA BIO announced topline results from the CHASE Phase 2b clinical trial of KPI-012 on or around October 8, 2025, reporting that it missed the primary endpoint and key secondary endpoints, leading to discontinuation of development.[3]",Clinical Data,NCT05727878,Persistent Corneal Epithelial Defect,Phase 2b,False,,,No,Did not meet primary endpoint of complete healing of PCED at Week 8 as measured by corneal fluorescein staining photographs.,A Study to Evaluate Safety and Efficacy of KPI-012 Ophthalmic Solution in Participants With Persistent Corneal Epithelial Defect (PCED),PHASE2,103.0,Persistent Corneal Epithelial Defect,TERMINATED,"Combangio, Inc",RANDOMIZED,2025-09-29,346.31,0.38,21.1,7.0,0.03,0.01,,none,0.82,,,True,True,Low,VeryLow,Noise,Low,Low
SAVA,2024-11-29,-3.52,103.91,0.03,3.84,Loser,simufilam,"Cassava Sciences (SAVA) announced topline Phase 3 RETHINK-ALZ trial results for simufilam on November 25, 2024, stating that it did not meet co-primary, secondary, or exploratory biomarker endpoints.[2]",Clinical Data,NCT04994483,Alzheimer Disease,Phase 3,True,Phase 3 registrational trial intended to support FDA approval for mild-to-moderate Alzheimer's disease,,No,Did not meet co-primary endpoints of change in cognition (ADAS-COG12) and function (ADCS-ADL) after one year,"A Phase 3, Randomized, Double-blind, Placebo-controlled, Parallel-group, 52-week Study Evaluating the Safety and Efficacy of Simufilam 100 mg Tablets in Subjects With Mild-to-Moderate Alzheimer's Disease",PHASE3,804.0,Alzheimer Disease,COMPLETED,"Cassava Sciences, Inc.",RANDOMIZED,2024-10-02,102.9,2.13,106.08,15.0,0.15,0.29,8.0,none,0.82,,,True,True,Low,VeryLow,Noise,Low,Low
TENX,2024-02-09,-2.17,20.67,0.1,4.96,Loser,TNX-103,"Tenax Therapeutics (TENX) announced on or around February 7-9, 2024, the enrollment of the first patient in the Phase 3 LEVEL study for TNX-103 in PH-HFpEF patients, but no efficacy results or topline data were reported at that time.[5][7]",Clinical Data,NCT07288398,Pulmonary Hypertension Associated With HFpEF,Phase 3,True,"LEVEL is a registrational Phase 3 study, with LEVEL-2 as a second registrational Phase 3 trial",,Unclear,"No efficacy results or topline data reported; first patient enrolled around February 8, 2024, with topline data expected mid-2026.","A Phase 3, Double-Blind, Randomized, Placebo-Controlled Study of Levosimendan in Pulmonary Hypertension Patients With Heart Failure With Preserved Left Ventricular Ejection Fraction",PHASE3,540.0,Pulmonary Hypertension Associated With HFpEF,RECRUITING,"Tenax Therapeutics, Inc.",RANDOMIZED,2028-06-30,76.55,12.26,99.37,46.0,0.02,1.17,22.9,none,0.82,Event older than 730 days: 2024-02-09,,True,False,Low,VeryLow,Noise,Low,Low
SAVA,2024-12-05,3.73,112.9,0.03,3.06,Gainer,Simufilam,"No clinical trial data or results for SAVA (Cassava Sciences) were announced on or around 2024-12-05; topline results from the Phase 3 RETHINK-ALZ trial were reported in November 2024, with plans to share 12-month data by end of 2024, but specific December 5 announcement not mentioned.",Clinical Data,NCT04994483,Alzheimer Disease,Phase 3,True,Phase 3 trial designed to evaluate safety and efficacy as potential registrational study for Alzheimer's disease[1][2][3],,No,Failed to meet prespecified co-primary endpoints of change in cognition (ADAS-COG12) and function (ADCS-ADL) from baseline to week 52/76 in RETHINK-ALZ and REFOCUS-ALZ trials[1][2][3],"A Phase 3, Randomized, Double-blind, Placebo-controlled, Parallel-group, 52-week Study Evaluating the Safety and Efficacy of Simufilam 100 mg Tablets in Subjects With Mild-to-Moderate Alzheimer's Disease",PHASE3,804.0,Alzheimer Disease,COMPLETED,"Cassava Sciences, Inc.",RANDOMIZED,2024-10-02,102.9,2.13,106.08,15.0,0.15,0.29,8.0,none,0.82,,,True,True,Low,VeryLow,Noise,Low,Low
KALA,2025-10-13,4.2,139.39,0.03,1.49,Gainer,KPI-012,"No clinical trial data or results for KALA were announced on or around 2025-10-13; topline results from the CHASE Phase 2b trial of KPI-012 were announced later, showing failure to meet the primary endpoint, leading to discontinuation.[1][2]",Clinical Data,NCT05727878,Persistent Corneal Epithelial Defect,Phase 2b,True,Company stated that positive results could support a Biologics License Application (BLA)[1],,No,"KPI-012 failed to meet the primary endpoint of complete healing of PCED as measured by corneal fluorescein staining at Day 56, with no meaningful difference vs vehicle[2][3][6]",A Study to Evaluate Safety and Efficacy of KPI-012 Ophthalmic Solution in Participants With Persistent Corneal Epithelial Defect (PCED),PHASE2,103.0,Persistent Corneal Epithelial Defect,TERMINATED,"Combangio, Inc",RANDOMIZED,2025-09-29,346.31,0.38,21.1,7.0,0.03,0.01,,none,0.82,,,True,True,Low,VeryLow,Noise,Low,Low
SAVA,2024-11-27,3.92,103.7,0.04,3.98,Gainer,simufilam,"Cassava Sciences (SAVA) announced topline results from the Phase 3 RETHINK-ALZ trial of simufilam on November 25, 2024, stating it did not meet co-primary endpoints, with plans to report REFOCUS-ALZ results in early 2025.",Clinical Data,NCT04994483,Alzheimer Disease,Phase 3,True,Phase 3 trial under Special Protocol Assessment with FDA,,No,Did not meet co-primary endpoints of change from baseline in ADAS-COG12 and ADCS-ADL after 52 weeks.,"A Phase 3, Randomized, Double-blind, Placebo-controlled, Parallel-group, 52-week Study Evaluating the Safety and Efficacy of Simufilam 100 mg Tablets in Subjects With Mild-to-Moderate Alzheimer's Disease",PHASE3,804.0,Alzheimer Disease,COMPLETED,"Cassava Sciences, Inc.",RANDOMIZED,2024-10-02,102.9,2.13,106.08,15.0,0.15,0.29,8.0,none,0.82,,,True,True,Low,VeryLow,Noise,Low,Low
TENX,2024-02-20,-3.86,73.55,0.05,3.99,Loser,TNX-103,"No clinical trial data or results were announced for TENX on or around 2024-02-20; the closest event was the February 7, 2024 announcement of first patient enrollment in the Phase 3 LEVEL trial, with later updates on sample size assessments in 2025 and 2026.",Clinical Data,NCT07288398,Pulmonary Hypertension Associated With HFpEF,Phase 3,True,"LEVEL is a randomized, placebo-controlled Phase 3 trial designed to meet FDA requirements for drug exposure and support regulatory approval in PH-HFpEF, with no prior approved treatments.",,Unclear,No topline results available; topline data from Phase 3 LEVEL trial expected mid-2026.,"A Phase 3, Double-Blind, Randomized, Placebo-Controlled Study of Levosimendan in Pulmonary Hypertension Patients With Heart Failure With Preserved Left Ventricular Ejection Fraction",PHASE3,540.0,Pulmonary Hypertension Associated With HFpEF,RECRUITING,"Tenax Therapeutics, Inc.",RANDOMIZED,2028-06-30,76.55,12.26,99.37,46.0,0.02,1.17,22.9,none,0.82,,,True,True,Low,VeryLow,Noise,Low,Low
SAVA,2024-12-06,5.23,124.5,0.04,3.22,Gainer,simufilam,"Cassava Sciences (SAVA) announced the publication of peer-reviewed Phase 3 results for simufilam in Alzheimer's disease (RETHINK-ALZ and REFOCUS-ALZ trials), confirming failure to meet prespecified endpoints but a favorable safety profile, with the company discontinuing the program.[1]",Clinical Data,NCT04994483,Alzheimer Disease,Phase 3,True,"Registrational studies that received Special Protocol Assessment (SPA) from the FDA, designed to support NDA filing if positive[2]",,No,RETHINK-ALZ and REFOCUS-ALZ trials failed to meet prespecified co-primary endpoints of change in cognition (ADAS-COG12) and function (ADCS-ADL) from baseline[1][3],"A Phase 3, Randomized, Double-blind, Placebo-controlled, Parallel-group, 52-week Study Evaluating the Safety and Efficacy of Simufilam 100 mg Tablets in Subjects With Mild-to-Moderate Alzheimer's Disease",PHASE3,804.0,Alzheimer Disease,COMPLETED,"Cassava Sciences, Inc.",RANDOMIZED,2024-10-02,102.9,2.13,106.08,15.0,0.15,0.29,8.0,none,0.82,,,True,True,Low,VeryLow,Noise,Low,Low
KALA,2025-10-01,-11.11,157.22,0.07,1.36,Loser,KPI-012,"KALA BIO announced topline results from the CHASE Phase 2b clinical trial of KPI-012 on or around early October 2025, reporting that it missed the primary endpoint and key secondary endpoints, leading to discontinuation of development.[3]",Clinical Data,NCT05727878,Persistent Corneal Epithelial Defect,Phase 2b,True,Company stated CHASE Phase 2b could potentially serve as the first of two pivotal studies required for BLA submission if positive[5],,No,Did not meet primary endpoint of complete healing of PCED at Week 8 as measured by corneal fluorescein staining[1][3][4],A Study to Evaluate Safety and Efficacy of KPI-012 Ophthalmic Solution in Participants With Persistent Corneal Epithelial Defect (PCED),PHASE2,103.0,Persistent Corneal Epithelial Defect,TERMINATED,"Combangio, Inc",RANDOMIZED,2025-09-29,346.31,0.38,21.1,7.0,0.03,0.01,,none,0.82,,,True,True,Low,Low,Noise,Low,Low
